OG_name,OG size (number of genomes)
OG_0,6
OG_1,10
OG_2,10
OG_3,5
OG_4,10
OG_5,10
OG_6,10
OG_7,10
OG_8,10
OG_9,9
OG_10,10
OG_11,10
OG_12,8
OG_13,10
OG_14,4
OG_15,6
OG_16,5
OG_17,5
OG_18,5
OG_19,5
OG_20,6
OG_21,6
OG_22,6
OG_23,6
OG_24,6
OG_25,6
OG_26,7
OG_27,5
OG_28,4
OG_29,5
OG_30,5
OG_31,4
OG_32,4
OG_33,4
OG_34,6
OG_35,3
OG_36,4
OG_37,5
OG_38,4
OG_39,5
OG_40,10
OG_41,10
OG_42,10
OG_43,8
OG_44,9
OG_45,10
OG_46,10
OG_47,10
OG_48,10
OG_49,9
OG_50,10
OG_51,10
OG_52,10
OG_53,10
OG_54,10
OG_55,9
OG_56,10
OG_57,10
OG_58,10
OG_59,10
OG_60,10
OG_61,10
OG_62,9
OG_63,9
OG_64,9
OG_65,9
OG_66,9
OG_67,10
OG_68,10
OG_69,10
OG_70,10
OG_71,10
OG_72,10
OG_73,10
OG_74,10
OG_75,10
OG_76,10
OG_77,10
OG_78,10
OG_79,10
OG_80,10
OG_81,10
OG_82,10
OG_83,10
OG_84,10
OG_85,9
OG_86,10
OG_87,10
OG_88,10
OG_89,10
OG_90,10
OG_91,10
OG_92,10
OG_93,10
OG_94,10
OG_95,10
OG_96,10
OG_97,10
OG_98,10
OG_99,10
OG_100,9
OG_101,10
OG_102,10
OG_103,10
OG_104,10
OG_105,10
OG_106,10
OG_107,10
OG_108,10
OG_109,10
OG_110,10
OG_111,10
OG_112,10
OG_113,10
OG_114,10
OG_115,10
OG_116,10
OG_117,7
OG_118,5
OG_119,6
OG_120,4
OG_121,3
OG_122,4
OG_123,10
OG_124,9
OG_125,10
OG_126,10
OG_127,10
OG_128,10
OG_129,10
OG_130,10
OG_131,10
OG_132,10
OG_133,10
OG_134,10
OG_135,10
OG_136,10
OG_137,10
OG_138,10
OG_139,10
OG_140,10
OG_141,10
OG_142,10
OG_143,10
OG_144,10
OG_145,10
OG_146,10
OG_147,10
OG_148,9
OG_149,10
OG_150,10
OG_151,7
OG_152,10
OG_153,10
OG_154,10
OG_155,10
OG_156,10
OG_157,10
OG_158,10
OG_159,10
OG_160,10
