OG_name,OG size (number of genomes)
OG_0,4
OG_1,4
OG_2,4
OG_3,4
OG_4,4
OG_5,4
OG_6,4
OG_7,4
OG_8,4
OG_9,4
OG_10,4
OG_11,4
OG_12,4
OG_13,4
OG_14,4
OG_15,4
OG_3563,3
OG_16,4
OG_17,4
OG_18,4
OG_19,4
OG_20,4
OG_21,4
OG_22,4
OG_23,4
OG_24,4
OG_25,3
OG_26,4
OG_3564,3
OG_3565,3
OG_3566,3
OG_27,4
OG_28,4
OG_29,4
OG_3567,3
OG_30,4
OG_31,4
OG_32,4
OG_33,4
OG_34,4
OG_35,4
OG_36,4
OG_37,4
OG_38,4
OG_39,4
OG_40,4
OG_41,4
OG_42,4
OG_43,4
OG_3568,3
OG_44,4
OG_45,4
OG_46,4
OG_47,4
OG_48,4
OG_49,4
OG_50,4
OG_51,4
OG_52,4
OG_53,4
OG_54,4
OG_55,4
OG_56,4
OG_57,4
OG_58,4
OG_59,4
OG_60,4
OG_61,4
OG_62,4
OG_63,4
OG_64,4
OG_65,4
OG_66,4
OG_67,4
OG_68,4
OG_69,4
OG_70,4
OG_71,4
OG_72,4
OG_73,4
OG_74,4
OG_75,4
OG_76,4
OG_77,4
OG_78,4
OG_79,4
OG_80,4
OG_81,4
OG_82,4
OG_83,4
OG_3899,2
OG_84,4
OG_85,4
OG_86,4
OG_3569,3
OG_87,4
OG_88,4
OG_89,4
OG_90,4
OG_91,4
OG_92,4
OG_93,4
OG_94,4
OG_95,4
OG_96,4
OG_3570,3
OG_97,4
OG_98,4
OG_99,4
OG_100,4
OG_101,4
OG_102,4
OG_103,4
OG_104,4
OG_105,4
OG_106,4
OG_107,4
OG_108,4
OG_109,4
OG_110,4
OG_111,4
OG_112,4
OG_113,4
OG_114,4
OG_115,4
OG_116,4
OG_117,4
OG_118,3
OG_119,3
OG_120,4
OG_121,4
OG_122,4
OG_123,4
OG_124,4
OG_125,4
OG_126,4
OG_127,4
OG_128,4
OG_129,4
OG_130,4
OG_131,4
OG_132,4
OG_133,4
OG_134,4
OG_135,4
OG_136,4
OG_137,4
OG_138,4
OG_139,4
OG_140,4
OG_141,4
OG_142,4
OG_143,4
OG_144,4
OG_145,4
OG_146,4
OG_147,4
OG_148,4
OG_149,4
OG_150,4
OG_151,4
OG_152,4
OG_153,4
OG_154,4
OG_155,4
OG_156,4
OG_157,4
OG_158,4
OG_3900,2
OG_3901,2
OG_3902,2
OG_3903,2
OG_3904,2
OG_3905,2
OG_159,4
OG_160,4
OG_161,4
OG_162,4
OG_163,4
OG_164,4
OG_165,4
OG_166,4
OG_167,4
OG_168,4
OG_169,4
OG_170,4
OG_171,4
OG_172,4
OG_173,4
OG_174,4
OG_175,4
OG_176,4
OG_177,4
OG_178,4
OG_179,4
OG_180,4
OG_181,4
OG_182,4
OG_183,4
OG_184,4
OG_185,4
OG_186,4
OG_187,4
OG_188,4
OG_189,4
OG_190,4
OG_191,4
OG_192,4
OG_193,4
OG_194,4
OG_195,4
OG_196,4
OG_197,4
OG_198,4
OG_199,4
OG_3906,2
OG_3907,2
OG_3908,2
OG_200,4
OG_201,4
OG_202,4
OG_203,4
OG_204,4
OG_205,4
OG_206,4
OG_3909,2
OG_207,4
OG_208,4
OG_209,4
OG_210,4
OG_211,4
OG_212,4
OG_213,4
OG_214,4
OG_215,4
OG_216,4
OG_217,4
OG_218,4
OG_219,4
OG_220,4
OG_221,4
OG_222,4
OG_223,4
OG_224,4
OG_225,4
OG_226,4
OG_227,4
OG_228,4
OG_3571,3
OG_229,4
OG_230,4
OG_231,4
OG_232,4
OG_233,4
OG_234,4
OG_235,4
OG_3910,2
OG_3911,2
OG_236,4
OG_237,4
OG_3572,3
OG_3573,3
OG_238,3
OG_239,4
OG_240,4
OG_241,4
OG_242,4
OG_243,4
OG_244,4
OG_245,3
OG_246,3
OG_3912,2
OG_3913,2
OG_247,3
OG_248,4
OG_249,4
OG_250,4
OG_251,4
OG_252,4
OG_253,4
OG_254,4
OG_255,4
OG_256,3
OG_257,4
OG_258,4
OG_259,4
OG_260,4
OG_261,4
OG_262,4
OG_263,4
OG_264,4
OG_265,4
OG_266,4
OG_267,4
OG_268,4
OG_269,4
OG_270,4
OG_271,4
OG_272,4
OG_273,4
OG_274,4
OG_275,4
OG_276,4
OG_278,4
OG_279,4
OG_280,4
OG_281,4
OG_282,4
OG_283,4
OG_284,4
OG_285,4
OG_286,4
OG_287,4
OG_288,4
OG_289,4
OG_290,4
OG_291,4
OG_292,4
OG_293,4
OG_294,4
OG_295,4
OG_296,4
OG_297,4
OG_298,4
OG_299,4
OG_300,4
OG_301,4
OG_302,4
OG_303,4
OG_304,4
OG_305,4
OG_306,4
OG_307,4
OG_308,4
OG_309,4
OG_310,4
OG_311,4
OG_312,4
OG_313,4
OG_314,4
OG_315,4
OG_316,4
OG_317,4
OG_3574,3
OG_318,4
OG_319,4
OG_320,4
OG_321,4
OG_322,4
OG_323,4
OG_324,4
OG_325,4
OG_326,4
OG_327,4
OG_328,4
OG_329,4
OG_330,4
OG_331,4
OG_332,4
OG_333,4
OG_334,4
OG_335,4
OG_336,4
OG_337,4
OG_338,4
OG_339,4
OG_340,4
OG_341,4
OG_342,4
OG_343,4
OG_344,4
OG_345,4
OG_346,4
OG_347,4
OG_348,4
OG_349,4
OG_350,4
OG_351,4
OG_352,4
OG_353,4
OG_354,4
OG_355,4
OG_356,4
OG_357,4
OG_358,4
OG_359,4
OG_3575,3
OG_360,4
OG_361,4
OG_362,4
OG_363,4
OG_364,4
OG_365,4
OG_366,4
OG_367,4
OG_368,4
OG_369,4
OG_370,4
OG_3914,2
OG_371,4
OG_372,4
OG_373,4
OG_374,4
OG_375,4
OG_376,4
OG_377,4
OG_378,4
OG_379,4
OG_380,4
OG_381,4
OG_382,4
OG_383,4
OG_384,4
OG_385,4
OG_386,4
OG_387,4
OG_4572,3
OG_388,4
OG_389,4
OG_390,4
OG_391,4
OG_392,4
OG_393,4
OG_394,4
OG_395,4
OG_396,4
OG_397,4
OG_398,4
OG_399,4
OG_400,4
OG_401,4
OG_402,4
OG_403,4
OG_404,4
OG_3576,3
OG_405,4
OG_406,4
OG_407,4
OG_408,4
OG_409,4
OG_410,4
OG_411,4
OG_412,4
OG_413,4
OG_414,4
OG_415,4
OG_416,4
OG_417,4
OG_418,4
OG_419,4
OG_420,4
OG_421,4
OG_422,4
OG_3577,3
OG_423,4
OG_424,4
OG_425,4
OG_426,4
OG_427,4
