OG_name,OG size (number of genomes)
OG_0,136
OG_1,134
OG_2,132
OG_3,134
OG_4,135
OG_5,135
OG_6,135
OG_7,130
OG_8,7
OG_9,133
OG_10,133
OG_11,134
OG_12,133
OG_13,133
OG_14,133
OG_15,133
OG_16,133
OG_17,133
OG_18,134
OG_19,133
OG_20,133
OG_21,134
OG_22,135
OG_23,134
OG_24,134
OG_25,132
OG_26,134
OG_27,134
OG_28,130
OG_29,72
OG_30,42
OG_31,134
OG_32,132
OG_33,135
OG_34,134
OG_35,134
OG_36,134
OG_37,133
OG_38,134
OG_39,3
OG_40,3
OG_41,8
OG_42,4
OG_43,7
OG_44,136
OG_45,10
OG_46,7
OG_47,11
OG_48,132
OG_49,133
OG_50,134
OG_51,133
OG_52,132
OG_53,133
OG_54,130
OG_55,136
OG_56,134
OG_57,134
OG_58,134
OG_59,133
OG_60,133
OG_61,133
OG_62,133
OG_63,126
OG_64,134
OG_65,133
OG_66,136
OG_67,133
OG_68,133
OG_69,134
OG_70,134
OG_71,134
OG_72,133
OG_73,134
OG_74,133
OG_75,132
OG_76,129
OG_77,35
OG_78,133
OG_79,133
OG_80,134
OG_81,128
OG_82,2
OG_83,135
OG_84,134
OG_85,136
OG_86,136
OG_87,136
OG_88,136
OG_89,9
OG_90,9
OG_91,135
OG_92,136
OG_93,136
OG_94,136
OG_95,126
OG_96,136
OG_97,136
OG_98,135
OG_99,136
OG_100,136
OG_101,132
OG_102,136
OG_103,136
OG_104,136
OG_105,8
OG_106,91
OG_107,136
OG_108,6
OG_109,6
OG_110,6
OG_111,133
OG_112,131
OG_113,136
OG_114,136
OG_115,134
OG_116,5
OG_117,6
OG_118,136
OG_119,61
OG_120,135
OG_121,136
OG_122,136
OG_123,136
OG_124,132
OG_125,133
OG_126,136
OG_127,136
OG_128,135
OG_129,136
OG_130,135
OG_131,136
OG_132,134
OG_133,131
OG_134,135
OG_135,134
OG_136,134
OG_137,134
OG_138,136
OG_139,136
OG_140,136
OG_141,134
OG_142,135
OG_143,135
OG_144,136
OG_145,134
OG_146,135
OG_147,135
OG_148,94
OG_149,113
OG_150,132
OG_151,136
OG_152,131
OG_153,131
OG_154,131
OG_155,131
OG_156,134
OG_157,99
OG_158,122
OG_159,117
OG_160,4
OG_161,32
OG_162,136
OG_163,4
OG_164,11
OG_165,22
OG_166,66
OG_167,136
OG_168,122
OG_169,128
OG_170,12
OG_171,135
OG_172,135
OG_173,136
OG_174,135
OG_175,131
OG_176,131
OG_177,103
OG_178,21
OG_179,131
OG_180,26
OG_181,136
OG_182,136
OG_183,8
OG_184,9
OG_185,136
OG_186,8
OG_187,7
OG_188,136
OG_189,136
OG_190,136
OG_191,136
OG_192,135
OG_193,136
OG_194,136
OG_195,136
OG_196,136
OG_197,136
OG_198,136
OG_199,136
OG_200,136
OG_201,136
OG_202,136
OG_203,136
OG_204,26
OG_205,13
OG_206,135
OG_207,136
OG_208,134
OG_209,134
OG_210,13
OG_211,136
OG_212,135
OG_213,132
OG_214,86
OG_215,135
OG_216,135
OG_217,136
OG_218,136
OG_219,136
OG_220,11
OG_221,133
OG_222,117
OG_223,135
OG_224,135
OG_225,134
OG_226,127
OG_227,136
OG_228,130
OG_229,136
OG_230,2
OG_231,130
OG_232,130
OG_233,130
OG_234,131
OG_235,129
OG_236,130
OG_237,6
OG_238,88
OG_239,135
OG_240,136
OG_241,115
OG_242,119
OG_243,88
OG_244,94
OG_245,14
OG_246,10
OG_247,22
OG_248,19
OG_249,9
OG_250,8
OG_251,136
OG_252,127
OG_253,133
OG_254,133
OG_255,135
OG_256,129
OG_257,131
OG_258,136
OG_259,136
OG_260,132
OG_261,135
OG_262,136
OG_263,131
OG_264,135
OG_265,102
OG_266,135
OG_267,10
OG_268,7
OG_269,6
OG_270,6
OG_271,128
OG_272,131
OG_273,136
OG_274,6
OG_275,11
OG_276,119
OG_277,136
OG_278,134
OG_279,136
OG_280,135
OG_281,135
OG_282,8
OG_283,135
OG_284,136
OG_285,7
OG_286,5
OG_287,21
OG_288,32
OG_289,127
OG_290,136
OG_291,135
OG_292,135
OG_293,136
OG_294,7
OG_295,136
OG_296,136
OG_297,136
OG_298,136
OG_299,135
OG_300,135
OG_301,135
OG_302,136
OG_303,136
OG_304,23
OG_305,103
OG_306,135
OG_307,103
OG_308,103
OG_309,95
OG_310,135
OG_311,135
OG_312,136
OG_313,134
OG_314,128
OG_315,135
OG_316,99
OG_317,122
OG_318,135
OG_319,135
OG_320,131
OG_321,132
OG_322,135
