query,001SaciDSM13117T,002SaciT0-18T,003SaciSPDF1,004SaciSUNEO,005SaciAPG1,006SbenDSM103927T,007SbenVV6,008ScheDSM21508T,009ScheBIGb0227,010ScycLMG31208T,011SdaeJCM16244T,012SgenJCM13324T,013SgenN1,014SgenSMYL98,015SgenSCPM-O-B-9794,016SginDSM24757T,017SgoyBIO128,018ShumDSM18929T,019SindLMG29892T,020SindDAIF1,021SindMGMM10,022SindK279a,023SindRS7,024SindCPHE1,025SkorDSM17805T,026SkorW1S232,027SlacM15T,028SlacYR347,029SlacTUM20371,030SlacAs7,031SlacBi66,032SlacRIT_As_2,033SlacBi35,034SlauK32T,035SmalNCTC10257T,036SmalNCTC10258,037SmalCF13,038SmalSGY2,039SmalLH_B2,040SmalGYH,041SmalSTEN00241,042SmalWGB211,043SmalSJTH1,044SmalFZD2,045SmalSJTL3,046SmalZT1,047SmalACYCb_6H,048SmalPEG_68,049SmalNCTC10259,050Smal2013SM12,051SmalPEG_305,052SmalMER1,053SmalPEG_42,054SmalNCTC13014,055SmalCSM2,056SmalJV3,057SmalKMM_349,058SmalR551_3,059SmalU5,060SmalX28,061SmalAA1,062SmalISMMS3,063SmalOUC_Est10,064SmalJZL8,065SmalISMMS2R,066SmalCol1,067SmalACYCd9D,068Smal2013_SM4,069SmalSoD9b,070SmalPEG_141,071SmalDHHJ,072SmalT50_20,073SmalPEG_173,074SmalSM_866,075SmorCPCC101365T,076SmurDSM28631T,077SmurCCV155,078SmurSMYL13_,079SnemCPCC101271T,080SnitDSM12575T,081Snit2001,082SpanJCM16536T,083SpanGSS15,084SpavDSM25135T,085SpavY,086SpavPI-27,087SpenSa5BUN4T,088SpicJCM9942T,089SriyCFS3442T,090SrhiDSM14405T,091SrhiSR80,092SrhiBl2-2,093SrhiCFBP13529,094SrhiCFBP9006,095SrhiIS26,096SrhiUSBAGBX843,097SrhiJC1,098SrhiDE0483,099SrhiGN_RF2_1,100SrhiRIT_551,101SrhiBIGb0145,102SrhiBIGb0277,103SsepSM16975T,104SsepZH16.fasta,105SsepSMYL93,106SsepSMYL57,107SterDSM18941T,108StumJCM30961T,109ICU_D3_102,110UCE_D3_125,111UCE_D5_37,112GM_D5_87,113ICU_New_95,114ICU_New_188,115ICU_New_296,116GM_D3_185,117GM_D3_189,118GM_D4_135,119UCE_D6_43,120ICU_D4_5,121ICU_D4_210,122UCE_D5_25,123UCE_D6_155,124UCE_D3_105,125GM_D5_149,126ICU_D3_80,127H_D3_146,128ICU_D4_12,129ICU_D4_90,130GM_D4_145,131PhibATCC19867T,132PdokDSM21858T,133XmalLMG27592T,SaraA5588,SoahA5586,Spigmentata610A2,max_value,max_column
001SaciDSM13117T,100.0,97.1235,98.5815,93.6661,93.4857,83.8761,83.3322,83.0291,82.9946,83.7086,88.4141,83.6956,83.7057,83.6336,83.6893,82.099,83.2925,84.1448,83.2903,83.3315,83.2758,83.1588,83.2044,83.0471,81.8561,81.8337,83.0926,83.1791,83.2422,83.2528,83.0796,83.2185,83.0853,82.6986,83.6645,83.5964,83.6472,83.1602,83.06,83.8663,83.9071,83.7425,83.578,83.7893,83.8416,83.6778,83.6307,83.9607,83.9193,83.8643,83.8298,82.9718,83.7968,83.5831,83.9063,83.8831,83.4519,83.6003,83.2601,83.7784,83.9004,83.8451,83.7172,83.6957,83.6674,83.6535,83.7335,83.7305,83.8063,84.0588,83.878,83.724,83.894,83.6077,87.7373,84.2754,83.9035,83.9127,83.8354,91.1946,84.5953,83.5665,83.5519,83.9515,83.9077,83.9511,82.5365,85.5126,83.8163,83.5527,83.54,83.5762,83.5078,83.4637,83.1924,83.1389,83.7751,83.7635,83.9326,83.3126,83.1067,83.1316,83.7269,83.7221,83.6112,83.9314,84.2135,82.2878,83.6375,83.7362,83.711,83.7685,83.666,83.6621,83.6411,84.0763,84.1893,84.2037,83.9328,83.7721,83.7554,84.1025,84.0582,83.736,84.1732,84.0379,83.9107,83.8584,83.8795,83.8754,83.6061,80.2884,81.3171,83.8307,82.8792,84.0447,98.5815,003SaciSPDF1
002SaciT0-18T,97.1267,100.0,97.0731,93.8821,93.7754,83.9676,83.2845,83.0579,82.996,83.8259,88.3906,83.7875,83.8856,83.7484,83.6892,82.1013,83.5802,84.1101,83.4483,83.437,83.3067,83.1986,83.4302,83.282,81.8783,82.1417,83.1214,83.2282,83.3385,83.3512,83.3101,83.2639,83.3345,82.8314,83.9298,83.7779,83.8661,83.0833,83.2153,83.9469,84.012,83.8106,83.7449,83.9967,83.8831,83.7416,83.6831,84.0283,83.9651,84.0372,84.0457,83.1578,83.7437,83.9049,83.973,84.0898,83.7428,83.7614,83.2962,83.9198,84.0867,84.1838,83.8545,83.7976,83.7124,83.9906,83.8306,83.6542,83.7892,83.9622,83.9021,83.8402,83.7737,83.8547,87.8987,84.0103,83.9161,83.9476,83.6941,91.0671,84.5321,83.6374,83.7825,83.9584,84.0139,84.097,82.8095,85.3837,83.8971,83.7814,83.627,83.7509,83.5239,83.5586,83.2136,83.1664,83.6192,83.7991,84.1658,83.4572,83.1328,83.1634,83.7389,83.7405,83.8173,83.9067,84.36,82.3705,83.7728,83.8461,83.7924,83.9273,83.8835,83.8167,83.8172,84.1123,83.9784,84.105,83.9579,84.0345,83.9677,83.9477,83.9579,83.9811,83.8259,84.0876,84.1062,84.1152,84.1472,84.0885,83.744,80.1507,81.3489,83.8313,83.1235,84.2279,97.1267,001SaciDSM13117T
003SaciSPDF1,98.619,97.062,100.0,93.6876,93.4854,83.9927,83.4369,82.9741,82.9218,84.0056,88.4697,83.9545,83.8967,83.8144,83.8863,82.0872,83.4634,84.1522,83.3446,83.5234,83.3586,83.4042,83.399,83.2995,81.8454,81.9417,83.3162,83.376,83.2581,83.4842,83.3755,83.3362,83.2335,82.8014,83.9808,83.9096,83.8791,83.2621,83.254,84.0107,84.139,84.04,83.9172,84.0482,84.0182,83.9068,83.8472,84.1406,84.1811,84.205,84.1375,83.1664,84.0565,83.9562,84.2319,84.1056,83.6755,83.8698,83.5027,83.93,84.1994,84.2361,83.8352,83.9278,83.89,83.9982,84.0065,83.9344,84.0545,84.194,84.1485,84.0667,83.9893,83.9788,87.8194,84.3027,84.2341,84.0973,83.8351,91.1176,84.6213,83.7313,83.8714,84.0548,84.2025,84.2229,82.7369,85.4531,83.946,83.7295,83.6558,83.6284,83.5752,83.652,83.1923,83.231,83.9845,83.871,84.1319,83.5305,83.216,83.1313,83.8622,83.8204,83.8108,84.1595,84.2687,82.3249,83.8469,84.0976,83.8356,83.911,84.1209,84.1052,84.086,84.5016,84.4093,84.4048,84.1108,83.9775,83.8596,84.0813,84.0978,84.0613,84.1618,84.1639,84.1344,84.1301,84.156,84.0051,83.7818,80.2039,81.1699,83.9154,83.1166,84.351,98.619,001SaciDSM13117T
004SaciSUNEO,93.6847,93.8539,93.7355,100.0,98.3213,83.9208,83.2413,83.2283,82.9758,83.9327,88.4134,83.759,83.8159,83.8904,83.8054,82.1326,83.3842,84.175,83.3074,83.3909,83.1751,83.2366,83.2208,83.3428,82.0698,82.1406,83.3195,83.3132,83.4475,83.3386,83.3014,83.3074,83.1645,82.8027,83.8799,83.7702,83.8298,83.0561,83.1878,83.8027,83.8401,83.7206,83.813,83.818,83.8814,83.7894,83.7375,84.0529,84.0941,84.0506,84.155,83.2688,83.7745,83.7114,83.9777,84.1535,83.663,83.6839,83.3659,83.8507,84.1573,83.8631,83.9122,83.8166,83.7679,84.0087,83.8587,83.8673,83.8432,84.028,83.9065,83.9343,83.9717,83.9758,87.8184,83.9736,83.9528,84.0294,83.4652,90.9091,84.4997,83.7715,83.7933,83.9601,84.0495,84.0906,82.6111,85.2261,83.8269,83.6988,83.7307,83.7315,83.5554,83.5229,82.9905,83.0164,83.5125,83.828,84.1071,83.3502,83.1305,83.0849,83.9104,83.9388,83.8125,83.8116,84.3641,82.297,83.651,83.804,83.6833,83.7541,83.7977,83.7501,83.7626,84.071,83.9612,83.9885,84.0209,83.823,83.7979,83.7702,83.912,83.9995,83.8223,83.9007,83.9586,83.8908,83.9347,83.7996,83.7283,80.2356,81.4282,83.8451,83.0445,84.1679,98.3213,005SaciAPG1
005SaciAPG1,93.4859,93.7975,93.5139,98.3601,100.0,84.4163,83.4086,82.9268,82.9651,84.0125,88.5185,83.7867,83.739,83.8805,83.8185,82.1982,83.2949,84.1422,83.4305,83.5083,83.4168,83.3522,83.3289,83.4339,82.246,82.1519,83.351,83.3046,83.2623,83.3162,83.3083,83.4252,83.3793,82.7439,83.7396,83.7775,83.84,83.3444,83.2339,83.9429,83.9323,83.6998,83.7271,83.9509,83.9896,83.8046,83.8008,84.0523,84.0054,83.994,84.0332,83.2264,83.7709,83.733,84.1491,84.1311,83.6384,83.6765,83.4483,83.8845,84.1326,83.9466,83.9023,83.8073,83.7989,83.8514,83.8814,83.8525,83.7598,83.8754,83.7791,83.8614,83.8588,83.9741,87.781,84.226,83.9741,83.9945,83.6622,91.1143,84.3644,83.7414,83.714,83.9075,83.9622,84.0376,82.7433,85.334,84.27,83.7301,83.6998,83.6096,83.6375,83.6441,83.1447,83.2064,83.4613,83.7185,84.3265,83.5715,82.972,83.0063,83.7703,83.8224,83.769,83.7684,84.34,82.1802,83.763,83.7344,83.6682,84.2937,83.7539,83.6984,83.7442,83.9909,84.2783,84.3128,84.2307,83.9288,83.9277,83.9805,84.0663,83.9,84.0982,83.936,84.0287,84.0196,84.0341,84.5576,83.7112,80.2044,81.3972,83.7845,83.0517,84.0601,98.3601,004SaciSUNEO
006SbenDSM103927T,83.909,83.9696,84.0211,83.9275,84.3896,100.0,86.5704,84.3215,84.3543,85.2004,83.9419,84.981,84.9267,85.081,85.1526,81.4793,86.5853,82.3556,84.7879,84.761,84.7888,84.7732,84.7836,84.7479,81.2431,81.2464,84.8132,84.6939,84.9461,84.8458,84.7135,84.8377,84.8146,84.0263,84.885,84.8796,84.8826,84.2489,84.2248,85.1929,85.1845,85.0166,84.9596,84.9962,85.0288,84.8045,84.7754,85.2359,85.15,85.1019,85.1,84.672,84.9779,84.8998,85.0711,85.336,84.9461,84.9255,84.7664,84.9662,85.2651,85.148,84.9431,85.1214,84.9645,85.1441,84.9111,84.9707,84.8949,85.0533,84.9664,85.0794,85.1242,85.0674,83.0912,85.1105,85.1082,85.1364,86.6604,84.2205,82.6035,83.0867,83.1706,85.0249,85.0606,85.0588,84.0119,83.1782,85.1545,87.385,89.204,89.2888,87.1346,87.1218,86.3302,86.2246,86.8434,89.6442,87.2539,86.5755,86.2801,86.268,84.7689,84.747,84.8016,84.9221,82.7081,83.5553,84.9531,85.0326,84.9446,85.0044,85.0154,85.0986,85.0113,85.148,85.0819,85.1333,85.0966,85.2121,85.1457,85.1463,85.1344,84.9416,85.1642,85.1448,85.112,85.1255,85.1729,85.2819,84.7777,80.0687,80.9142,94.6289,86.6991,82.4053,94.6289,SaraA5588
007SbenVV6,83.4289,83.2338,83.4136,83.2166,83.3248,86.5872,100.0,84.0853,84.158,84.9616,83.0794,84.9397,84.7918,84.734,84.7449,81.3574,97.8461,82.3528,84.729,84.6887,84.7401,84.679,84.6246,85.1425,81.1528,81.2479,84.587,84.6464,84.8982,84.642,84.5545,84.7132,84.6116,83.9879,84.694,84.7508,84.6456,84.0134,84.0877,85.2482,85.1843,85.1461,85.0998,84.7839,85.0029,84.575,84.5953,85.0898,85.0317,84.8655,84.7662,84.6013,84.7776,84.5166,85.1824,84.8731,84.7187,84.7219,84.6267,84.8508,85.0332,85.2225,84.6955,84.784,84.8848,84.805,85.1835,84.934,84.669,84.8841,84.7038,84.9951,84.9586,84.7584,82.5009,85.0605,85.0469,84.8303,87.2616,83.4959,82.6517,82.7395,82.7507,84.7512,84.8322,84.7874,83.9973,83.0076,84.8181,87.858,86.5883,86.6283,87.7672,87.9363,92.6641,92.6473,87.2787,86.382,87.8533,97.6263,92.1109,92.2628,84.683,84.6731,84.5919,85.0033,82.3698,84.25,84.7528,84.8814,84.8465,84.8178,84.8408,84.8599,84.8327,84.9936,85.043,85.0557,84.9332,84.9949,84.9488,84.8512,84.9297,84.7368,84.7867,84.9846,85.1383,85.1776,85.1894,85.1709,84.6311,79.8274,80.8729,86.7271,85.3157,82.3627,97.8461,017SgoyBIO128
008ScheDSM21508T,82.9361,82.9688,82.9407,82.8858,83.0153,84.3721,84.1275,100.0,98.9792,85.1886,82.8785,84.8447,84.8926,84.9393,84.8149,81.3651,84.1279,81.9342,84.9097,84.9186,84.9158,84.861,84.7759,84.8532,81.1519,81.0866,84.8134,84.7758,84.7817,84.9344,84.6784,85.0834,84.7688,92.403,84.8197,84.8457,84.8307,84.097,84.0664,84.9744,85.0081,84.7789,84.7409,84.8716,84.8735,84.7563,84.7778,84.9153,84.9047,84.9523,84.8573,84.8216,84.642,84.7313,85.1714,85.1469,84.8443,84.735,84.9558,84.9554,85.277,85.0631,84.7903,84.7944,84.8184,84.851,84.6778,84.758,84.7752,84.8243,84.7896,84.9196,84.9122,84.7331,82.3583,84.8512,84.8917,84.8901,83.9611,83.0711,82.0354,82.4587,82.5482,84.9222,84.8253,84.9748,92.2989,82.3854,84.8321,84.3662,84.3437,84.2577,84.4083,84.491,83.9405,83.9679,84.0579,84.3465,84.7365,84.2821,83.9583,83.9273,84.7197,84.7201,84.7671,84.8419,82.0593,85.8817,84.7619,84.8327,84.8073,84.863,84.902,84.8787,84.8944,84.9635,85.0027,84.9541,84.9702,84.9202,84.9799,84.8453,84.8408,84.9319,84.8598,84.982,84.9535,85.0764,85.0132,84.9968,84.7968,80.051,80.6536,84.1642,83.496,81.9664,98.9792,009ScheBIGb0227
009ScheBIGb0227,82.793,83.0131,82.9339,83.031,82.9731,84.3758,84.3037,98.9325,100.0,85.198,82.976,84.8838,84.9358,84.8687,84.8357,81.4054,84.2272,81.9318,85.1025,85.013,84.9531,84.97,84.889,84.92,81.0794,81.0275,84.8091,84.9442,84.8266,84.7568,84.8066,84.9938,84.8483,92.3603,84.837,84.7476,84.7959,84.2908,84.3314,84.9661,84.9811,84.8174,84.7682,84.9014,85.0256,84.8204,84.7969,84.9658,84.8729,84.9529,84.8961,84.7859,84.7347,84.7699,85.1314,85.0628,84.8232,84.8423,85.0144,84.8308,85.2994,85.1172,84.8135,84.8621,84.8654,84.8494,84.6932,84.8128,84.8659,84.8327,84.8927,85.0148,84.804,84.8373,82.3419,84.8481,84.8792,84.9169,84.2843,83.0314,82.0564,82.5314,82.5244,84.9352,84.8727,84.9711,92.2983,82.4493,85.0434,84.4879,84.4057,84.4156,84.5216,84.607,84.1307,83.9877,84.2206,84.3253,84.7608,84.3606,84.0184,83.9998,84.7807,84.6766,84.7323,84.7844,81.975,85.9672,84.796,84.7848,84.8399,84.8203,84.8433,84.8569,84.8747,84.9488,84.9771,84.9166,84.8593,85.075,85.062,85.0028,84.9571,84.9366,84.8939,85.0655,85.0402,84.9947,85.0218,85.1105,84.7997,79.9357,80.5008,84.4496,83.6778,81.9717,98.9325,008ScheDSM21508T
010ScycLMG31208T,83.7387,83.6112,83.7298,83.9131,83.8643,85.0917,84.9481,85.2393,85.2105,100.0,83.5058,88.92,89.0437,88.9797,89.0193,81.586,84.8379,82.2773,88.5021,88.5116,88.5286,88.5192,88.4922,88.4376,81.4068,81.2491,88.4326,88.3962,88.5192,88.4793,88.3318,88.4652,88.3203,84.8382,88.9958,88.9433,88.8571,87.6845,87.7129,89.0078,89.061,88.9745,89.0773,89.0408,89.0799,88.8587,88.7106,89.0029,89.105,88.945,88.902,88.3471,88.7756,88.867,89.1472,89.2437,88.878,88.97,88.5541,89.0723,93.3787,89.2898,89.016,89.0532,88.8892,88.9988,88.8613,88.8156,88.8274,88.9539,88.9916,89.0326,89.1052,89.0039,83.1106,88.9936,89.0548,88.9965,84.5485,83.7591,82.6102,83.2383,83.1442,88.8049,88.8482,88.8516,84.8429,82.8008,89.0079,85.2579,85.0425,85.2128,85.2074,85.1877,84.7196,84.7342,84.6663,84.9938,85.2134,84.892,84.7283,84.8251,88.6763,88.7259,88.8555,88.8473,82.5491,84.2551,88.9435,88.964,88.9387,89.0618,88.9549,88.9182,88.9426,89.0255,88.9837,89.0548,89.0619,89.1204,89.0054,88.9557,88.946,88.9318,88.9187,89.1862,89.1227,89.1215,89.1397,89.0947,88.6926,80.1109,80.8798,85.2395,84.2848,82.44,93.3787,061SmalAA1
