OG_name,01_P1B_15No21contigs_clean,02_P8B_807Jun22_contigs_clean,03_Pgraminis_UASWS1507_MDEN01,04_Pseudomonas_sp._CFBP_8772_GCF_014841665.1,05_Pseudomonas_sp._W2Oct36_JAUERW010000001.1,06_Pgraminis_GCA_900111735.1,07_Pgraminis_WP_8_SOCR01.1,08_Pgraminis_PgKB30_CP053746,09_Pgraminis_PDD-13b-3_MTSB02.1,10_Pseudomonas_sp._15A4_GCF_016925575.1,11_Pseudomonas_sp._KU26590_CP110644.1,12_Pabieta_GCA_900100795.1,13_Pbohemica_NKHL01.1,14_Plutea_GCA_000759445.1,15_Ppetrae_P2653_JAKJXE01,16_Pamydalii_GCF_002699855.1,17_Pcannabina_GCF_900100365.1,18_Pcaricapapayae_GCF_008692855.1_ASM869285v1_genomic,19_Pcaspiana_LOHF01,20_Pcerasi_LT222319,21_Pcichorii_DSM_50259NZ_CP074349.1,22_Pcongelans_GCF_900103225.1,23_Psavastanoi_GCF_001401285.1,24_Psyrin_LOHF01,25_Pviridiflava_GCF_001305955.1,26_Pcoleopterorum_GCF_900105555.1,27_Pbaltica_MBT-2_PS60_JACMYH010000001.1,28_Prhizosphaerae_GCF_000761155.1,29_Pasplenii_GCF_900108595.1,30_CP144767.1_Pchl_chloro,31_LS999205.1_PpCHAO,32_LHVK01_Pcorru,33_Pfluorescens_DSM_50090T_LHVP01.1,34_LT629783.1_Pfragi,35_Pgessardii_GCF_900625085.1_DSM_17152T,36_NIWT01_Pjesse,37_LT629687.1_Pkore,38_LT629796.1_Pmande,39_Pmohnii_GCF_900105115.1,40_Pumsongensis_DSM16611_NZ_NIWU01000001.1,41_Pbrassicae_MAFF_212427_JAAHBU010000001.1,42_Pbotevensis_JAHTKI010000010.1,43_Plaurentiana_JCM_32154_NZ_BMQU01000001.1,44_Ppalmensis_BBB001_NZ_JAFKEC010000100.1,45_AP013070.1_Pputi,46_CP012001.1_Paeru
OG_0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OG_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
OG_3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG_4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
OG_5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
OG_6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OG_7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OG_8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OG_9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OG_10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OG_11,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG_12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
OG_13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OG_14,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1
OG_15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OG_16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OG_17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
OG_18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OG_19,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
OG_20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0
OG_21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0
OG_22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OG_23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
OG_24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OG_25,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0
OG_26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
